Project,Severity,Status,Line,Message,Component,Debt,Effort,Creation Date
ReportComparator,CRITICAL,OPEN,86,Refactor this function to reduce its Cognitive Complexity from 64 to the 15 allowed.,ReportComparator:venv/Lib/site-packages/bs4/__init__.py,54min,54min,2019-01-24T12:22:27+0100
ReportComparator,MAJOR,OPEN,86,"Method ""__init__"" has 8 parameters, which is greater than the 7 authorized.",ReportComparator:venv/Lib/site-packages/bs4/__init__.py,20min,20min,2019-01-24T12:22:27+0100
ReportComparator,MAJOR,OPEN,326,Merge this if statement with the enclosing one.,ReportComparator:venv/Lib/site-packages/bs4/__init__.py,5min,5min,2019-01-24T12:22:27+0100
ReportComparator,MAJOR,OPEN,377,Remove this commented out code.,ReportComparator:venv/Lib/site-packages/bs4/__init__.py,5min,5min,2019-01-24T12:22:27+0100
ReportComparator,MAJOR,OPEN,383,Remove this commented out code.,ReportComparator:venv/Lib/site-packages/bs4/__init__.py,5min,5min,2019-01-24T12:22:27+0100
ReportComparator,CRITICAL,OPEN,391,Refactor this function to reduce its Cognitive Complexity from 22 to the 15 allowed.,ReportComparator:venv/Lib/site-packages/bs4/__init__.py,12min,12min,2019-01-24T12:22:27+0100
ReportComparator,MINOR,OPEN,391,"Rename this parameter ""containerClass"" to match the regular expression ^[_a-z][a-z0-9_]*$.",ReportComparator:venv/Lib/site-packages/bs4/__init__.py,2min,2min,2019-01-24T12:22:27+0100
ReportComparator,MINOR,OPEN,489,"Rename this parameter ""inclusivePop"" to match the regular expression ^[_a-z][a-z0-9_]*$.",ReportComparator:venv/Lib/site-packages/bs4/__init__.py,2min,2min,2019-01-24T12:22:27+0100
ReportComparator,MAJOR,OPEN,494,Remove this commented out code.,ReportComparator:venv/Lib/site-packages/bs4/__init__.py,5min,5min,2019-01-24T12:22:27+0100
ReportComparator,MAJOR,OPEN,521,Remove this commented out code.,ReportComparator:venv/Lib/site-packages/bs4/__init__.py,5min,5min,2019-01-24T12:22:27+0100
ReportComparator,MAJOR,OPEN,540,Remove this commented out code.,ReportComparator:venv/Lib/site-packages/bs4/__init__.py,5min,5min,2019-01-24T12:22:27+0100
ReportComparator,MAJOR,OPEN,199,Remove this commented out code.,ReportComparator:venv/Lib/site-packages/bs4/builder/__init__.py,5min,5min,2019-01-24T12:22:27+0100
ReportComparator,MAJOR,OPEN,203,Remove this commented out code.,ReportComparator:venv/Lib/site-packages/bs4/builder/__init__.py,5min,5min,2019-01-24T12:22:27+0100
ReportComparator,MINOR,OPEN,206,"Rename this parameter ""nsTuple"" to match the regular expression ^[_a-z][a-z0-9_]*$.",ReportComparator:venv/Lib/site-packages/bs4/builder/__init__.py,2min,2min,2019-01-24T12:22:27+0100
ReportComparator,MINOR,OPEN,206,"Rename this parameter ""nodeName"" to match the regular expression ^[_a-z][a-z0-9_]*$.",ReportComparator:venv/Lib/site-packages/bs4/builder/__init__.py,2min,2min,2019-01-24T12:22:27+0100
ReportComparator,MINOR,OPEN,210,"Rename this parameter ""nsTuple"" to match the regular expression ^[_a-z][a-z0-9_]*$.",ReportComparator:venv/Lib/site-packages/bs4/builder/__init__.py,2min,2min,2019-01-24T12:22:27+0100
ReportComparator,MINOR,OPEN,210,"Rename this parameter ""nodeName"" to match the regular expression ^[_a-z][a-z0-9_]*$.",ReportComparator:venv/Lib/site-packages/bs4/builder/__init__.py,2min,2min,2019-01-24T12:22:27+0100
ReportComparator,MINOR,OPEN,215,"Rename this parameter ""nodeValue"" to match the regular expression ^[_a-z][a-z0-9_]*$.",ReportComparator:venv/Lib/site-packages/bs4/builder/__init__.py,2min,2min,2019-01-24T12:22:27+0100
ReportComparator,MINOR,OPEN,88,"Rename this parameter ""namespaceHTMLElements"" to match the regular expression ^[_a-z][a-z0-9_]*$.",ReportComparator:venv/Lib/site-packages/bs4/builder/_html5lib.py,2min,2min,2019-01-24T12:22:27+0100
ReportComparator,MINOR,OPEN,100,"Rename this parameter ""namespaceHTMLElements"" to match the regular expression ^[_a-z][a-z0-9_]*$.",ReportComparator:venv/Lib/site-packages/bs4/builder/_html5lib.py,2min,2min,2019-01-24T12:22:27+0100
